,Team,Pace Factor,Effective Field Goal Percentage,Turnover Percentage,Offensive Rebound Percentage,FT/FGA,Offensive Rating
0,CHI,101.5,.625,5.4,17.1,.228,134.0
1,ATL,101.5,.543,9.3,29.4,.255,124.2
