,Team,Pace Factor,Effective Field Goal Percentage,Turnover Percentage,Offensive Rebound Percentage,FT/FGA,Offensive Rating
0,GSW,96.4,.603,12.8,28.2,.149,122.4
1,POR,96.4,.547,12.0,22.0,.247,118.2
