,Team,Pace Factor,Effective Field Goal Percentage,Turnover Percentage,Offensive Rebound Percentage,FT/FGA,Offensive Rating
0,DAL,106.4,.551,9.9,26.5,.172,118.4
1,SAS,106.4,.579,16.1,20.5,.180,111.8
