,Team,Pace Factor,Effective Field Goal Percentage,Turnover Percentage,Offensive Rebound Percentage,FT/FGA,Offensive Rating
0,NYK,90.8,.595,9.0,17.9,.155,124.4
1,CHO,90.8,.525,13.0,20.5,.086,101.3
