,Team,Pace Factor,Effective Field Goal Percentage,Turnover Percentage,Offensive Rebound Percentage,FT/FGA,Offensive Rating
0,CLE,103.3,.494,8.7,21.6,.384,114.3
1,GSW,103.3,.483,16.2,30.6,.256,106.5
