,Team,Pace Factor,Effective Field Goal Percentage,Turnover Percentage,Offensive Rebound Percentage,FT/FGA,Offensive Rating
0,CLE,98.2,.494,15.9,24.4,.089,98.8
1,LAL,98.2,.663,16.3,17.1,.125,118.1
