,Team,Pace Factor,Effective Field Goal Percentage,Turnover Percentage,Offensive Rebound Percentage,FT/FGA,Offensive Rating
0,SAS,113.8,.380,12.5,6.8,.167,78.2
1,OKC,113.8,.545,9.8,14.0,.168,111.6
