,Team,Pace Factor,Effective Field Goal Percentage,Turnover Percentage,Offensive Rebound Percentage,FT/FGA,Offensive Rating
0,NYK,103.5,.589,13.5,25.5,.222,121.7
1,ATL,103.5,.552,12.3,21.4,.276,115.9
