,Team,Pace Factor,Effective Field Goal Percentage,Turnover Percentage,Offensive Rebound Percentage,FT/FGA,Offensive Rating
0,NOP,95.5,.565,11.4,21.6,.200,118.3
1,PHO,95.5,.529,13.9,20.9,.149,109.9
