,Team,Pace Factor,Effective Field Goal Percentage,Turnover Percentage,Offensive Rebound Percentage,FT/FGA,Offensive Rating
0,CLE,98.9,.600,12.4,10.5,.165,117.2
1,ATL,98.9,.457,9.9,19.6,.108,96.0
