,Team,Pace Factor,Effective Field Goal Percentage,Turnover Percentage,Offensive Rebound Percentage,FT/FGA,Offensive Rating
0,UTA,102.0,.444,11.8,23.2,.122,97.1
1,LAL,102.0,.634,11.7,23.7,.256,128.5
