,Team,Pace Factor,Effective Field Goal Percentage,Turnover Percentage,Offensive Rebound Percentage,FT/FGA,Offensive Rating
0,CLE,99.0,.540,9.9,15.9,.261,119.2
1,LAC,99.0,.571,13.7,27.5,.286,121.3
