,Team,Pace Factor,Effective Field Goal Percentage,Turnover Percentage,Offensive Rebound Percentage,FT/FGA,Offensive Rating
0,IND,92.0,.680,7.7,21.9,.186,144.5
1,LAC,92.0,.576,7.8,28.9,.212,126.0
