,Team,Pace Factor,Effective Field Goal Percentage,Turnover Percentage,Offensive Rebound Percentage,FT/FGA,Offensive Rating
0,MIN,99.8,.580,13.2,28.6,.193,119.2
1,DAL,99.8,.512,14.2,10.8,.193,101.2
