,Team,Pace Factor,Effective Field Goal Percentage,Turnover Percentage,Offensive Rebound Percentage,FT/FGA,Offensive Rating
0,UTA,101.7,.471,16.7,23.4,.172,95.4
1,DAL,101.7,.663,6.0,25.6,.129,144.5
