,Team,Pace Factor,Effective Field Goal Percentage,Turnover Percentage,Offensive Rebound Percentage,FT/FGA,Offensive Rating
0,MIN,89.9,.571,8.5,26.7,.110,126.8
1,UTA,89.9,.548,15.9,37.8,.143,115.7
