,Team,Pace Factor,Effective Field Goal Percentage,Turnover Percentage,Offensive Rebound Percentage,FT/FGA,Offensive Rating
0,MIA,92.0,.489,12.8,27.3,.100,105.5
1,TOR,92.0,.625,9.4,34.2,.125,131.5
