,Team,Pace Factor,Effective Field Goal Percentage,Turnover Percentage,Offensive Rebound Percentage,FT/FGA,Offensive Rating
0,SAC,105.9,.583,12.7,23.4,.135,118.0
1,LAL,105.9,.572,20.1,17.1,.181,103.8
