,Team,Pace Factor,Effective Field Goal Percentage,Turnover Percentage,Offensive Rebound Percentage,FT/FGA,Offensive Rating
0,LAC,96.5,.613,3.7,19.0,.183,135.8
1,SAC,96.5,.541,12.5,31.0,.279,121.2
