,Team,Pace Factor,Effective Field Goal Percentage,Turnover Percentage,Offensive Rebound Percentage,FT/FGA,Offensive Rating
0,ORL,99.2,.563,18.1,34.2,.149,111.9
1,BOS,99.2,.620,9.0,22.0,.152,129.0
