,Team,Pace Factor,Effective Field Goal Percentage,Turnover Percentage,Offensive Rebound Percentage,FT/FGA,Offensive Rating
0,PHI,91.2,.568,11.1,16.2,.160,115.1
1,DEN,91.2,.530,6.6,28.3,.293,121.7
