,Team,Pace Factor,Effective Field Goal Percentage,Turnover Percentage,Offensive Rebound Percentage,FT/FGA,Offensive Rating
0,SAC,91.5,.555,6.0,28.0,.130,122.8
1,MIN,91.5,.565,10.8,20.5,.282,118.8
