,Team,Pace Factor,Effective Field Goal Percentage,Turnover Percentage,Offensive Rebound Percentage,FT/FGA,Offensive Rating
0,MIN,98.0,.531,17.4,21.4,.222,106.1
1,GSW,98.0,.494,16.7,28.3,.159,103.0
