,Team,Pace Factor,Effective Field Goal Percentage,Turnover Percentage,Offensive Rebound Percentage,FT/FGA,Offensive Rating
0,IND,102.1,.561,9.4,23.1,.121,120.5
1,GSW,102.1,.472,11.0,38.7,.104,108.8
