,Team,Pace Factor,Effective Field Goal Percentage,Turnover Percentage,Offensive Rebound Percentage,FT/FGA,Offensive Rating
0,MEM,90.6,.537,16.4,41.7,.220,117.0
1,BRK,90.6,.538,12.4,25.5,.215,112.6
