,Team,Pace Factor,Effective Field Goal Percentage,Turnover Percentage,Offensive Rebound Percentage,FT/FGA,Offensive Rating
0,SAC,98.8,.448,13.7,36.8,.198,106.3
1,OKC,98.8,.556,12.2,14.6,.288,113.4
