,Team,Pace Factor,Effective Field Goal Percentage,Turnover Percentage,Offensive Rebound Percentage,FT/FGA,Offensive Rating
0,NOP,94.5,.494,16.1,26.7,.244,101.6
1,MEM,94.5,.494,16.7,7.5,.086,92.1
