,Team,Pace Factor,Effective Field Goal Percentage,Turnover Percentage,Offensive Rebound Percentage,FT/FGA,Offensive Rating
0,MEM,96.6,.541,13.1,19.5,.129,106.6
1,MIN,96.6,.622,13.3,18.8,.195,122.2
