,Team,Pace Factor,Effective Field Goal Percentage,Turnover Percentage,Offensive Rebound Percentage,FT/FGA,Offensive Rating
0,OKC,99.5,.625,10.4,10.5,.262,127.6
1,ORL,99.5,.511,13.6,34.1,.220,113.5
