,Team,Pace Factor,Effective Field Goal Percentage,Turnover Percentage,Offensive Rebound Percentage,FT/FGA,Offensive Rating
0,DAL,101.7,.500,16.5,34.8,.222,108.2
1,NOP,101.7,.596,10.2,29.3,.202,128.8
