,Team,Pace Factor,Effective Field Goal Percentage,Turnover Percentage,Offensive Rebound Percentage,FT/FGA,Offensive Rating
0,ATL,97.0,.610,8.0,29.3,.253,138.2
1,HOU,97.0,.584,7.5,20.0,.258,130.9
