,Team,Pace Factor,Effective Field Goal Percentage,Turnover Percentage,Offensive Rebound Percentage,FT/FGA,Offensive Rating
0,PHO,98.1,.473,11.2,30.4,.160,106.1
1,POR,98.1,.529,13.6,23.3,.195,111.2
