,Team,Pace Factor,Effective Field Goal Percentage,Turnover Percentage,Offensive Rebound Percentage,FT/FGA,Offensive Rating
0,TOR,104.8,.594,14.1,33.3,.278,125.9
1,IND,104.8,.648,12.5,13.2,.143,125.0
