,Team,Pace Factor,Effective Field Goal Percentage,Turnover Percentage,Offensive Rebound Percentage,FT/FGA,Offensive Rating
0,POR,93.2,.587,10.0,31.0,.224,133.2
1,HOU,93.2,.596,7.2,18.6,.202,127.3
