,Team,Pace Factor,Effective Field Goal Percentage,Turnover Percentage,Offensive Rebound Percentage,FT/FGA,Offensive Rating
0,NYK,96.9,.397,8.5,31.5,.293,103.2
1,MIN,96.9,.581,12.1,17.5,.300,120.7
