,Team,Pace Factor,Effective Field Goal Percentage,Turnover Percentage,Offensive Rebound Percentage,FT/FGA,Offensive Rating
0,MIN,98.9,.447,16.5,16.0,.129,88.0
1,PHO,98.9,.493,16.9,16.3,.289,98.1
