,Team,Pace Factor,Effective Field Goal Percentage,Turnover Percentage,Offensive Rebound Percentage,FT/FGA,Offensive Rating
0,NOP,106.1,.673,10.8,26.8,.143,137.6
1,SAS,106.1,.505,11.2,18.4,.160,103.7
