,Team,Pace Factor,Effective Field Goal Percentage,Turnover Percentage,Offensive Rebound Percentage,FT/FGA,Offensive Rating
0,SAS,96.0,.608,15.3,16.7,.120,115.6
1,NOP,96.0,.564,15.7,28.2,.140,113.5
