,Team,Pace Factor,Effective Field Goal Percentage,Turnover Percentage,Offensive Rebound Percentage,FT/FGA,Offensive Rating
0,BRK,99.2,.589,13.2,9.8,.155,112.9
1,DET,99.2,.598,19.4,35.1,.244,118.9
