,Team,Pace Factor,Effective Field Goal Percentage,Turnover Percentage,Offensive Rebound Percentage,FT/FGA,Offensive Rating
0,UTA,94.5,.532,18.8,37.8,.266,111.1
1,POR,94.5,.603,11.6,31.8,.109,128.0
