,Team,Pace Factor,Effective Field Goal Percentage,Turnover Percentage,Offensive Rebound Percentage,FT/FGA,Offensive Rating
0,PHI,95.1,.468,8.3,14.5,.117,104.2
1,BOS,95.1,.561,13.4,31.0,.459,123.1
