nb_win_team_home,nb_win_team_away,ranking_team_home,ranking_team_home,result
5,5,5.0,4.0,BOS
4,3,11.0,15.0,CLE
4,2,8.0,26.0,DET
7,6,1.0,3.0,GSW
3,3,13.0,17.0,LAC
3,3,16.0,18.0,LAL
1,3,29.0,19.0,MIA
4,4,9.0,10.0,NOP
3,3,14.0,21.0,PHO
2,3,27.0,22.0,POR
3,3,20.0,23.0,SAS
6,3,2.0,24.0,TOR
4,2,7.0,28.0,UTA
2,1,25.0,30.0,WAS
4,4,12.0,8.0,ATL
5,5,5.0,6.0,MIL
5,4,5.0,11.0,BRK
2,2,29.0,26.0,CHO
6,3,2.0,18.0,LAC
4,3,15.0,19.0,LAL
3,5,24.0,8.0,MIN
4,4,12.0,13.0,NOP
3,5,23.0,9.0,OKC
2,6,27.0,4.0,PHI
1,2,30.0,28.0,UTA
6,3,4.0,19.0,CLE
5,4,6.0,13.0,MIA
4,5,15.0,8.0,MIL
6,4,2.0,17.0,TOR
4,3,16.0,20.0,CHO
4,7,15.0,2.0,DAL
5,8,9.0,1.0,DEN
3,2,21.0,27.0,DET
7,6,3.0,6.0,IND
3,1,23.0,30.0,MEM
3,5,26.0,10.0,MIA
6,6,5.0,7.0,MIN
4,5,18.0,12.0,OKC
4,3,14.0,24.0,POR
4,2,13.0,29.0,WAS
5,4,11.0,15.0,CHI
4,4,21.0,16.0,CLE
7,5,2.0,12.0,NYK
4,2,22.0,29.0,WAS
2,5,28.0,10.0,ATL
4,8,19.0,1.0,DAL
8,6,3.0,7.0,IND
8,3,2.0,24.0,LAC
5,2,13.0,29.0,MEM
3,6,23.0,8.0,MIA
6,7,6.0,5.0,MIN
5,5,11.0,16.0,ORL
3,3,27.0,25.0,POR
6,3,9.0,26.0,SAS
8,8,5.0,1.0,BOS
3,4,25.0,20.0,CLE
2,8,30.0,2.0,DAL
5,6,18.0,11.0,MIL
4,8,22.0,4.0,MIN
6,5,6.0,15.0,NYK
4,5,19.0,16.0,ORL
6,5,9.0,17.0,SAC
7,6,6.0,9.0,BRK
6,7,10.0,7.0,OKC
5,9,21.0,1.0,BOS
5,9,19.0,2.0,DEN
5,2,18.0,28.0,DET
3,6,25.0,12.0,HOU
3,6,26.0,14.0,LAL
3,7,24.0,7.0,MIL
2,6,30.0,15.0,NYK
4,6,22.0,16.0,ORL
6,8,9.0,5.0,PHI
4,5,23.0,20.0,PHO
3,6,27.0,17.0,SAC
8,9,5.0,2.0,DAL
3,2,27.0,29.0,MEM
4,8,22.0,4.0,MIA
6,8,16.0,6.0,MIN
3,7,24.0,9.0,NYK
6,8,12.0,7.0,OKC
3,10,26.0,1.0,BOS
6,9,16.0,3.0,DEN
5,2,21.0,29.0,DET
7,6,10.0,18.0,HOU
3,9,27.0,4.0,OKC
7,7,9.0,12.0,ORL
6,9,15.0,5.0,PHI
4,6,23.0,20.0,PHO
9,7,2.0,13.0,SAC
3,11,25.0,1.0,BOS
2,9,29.0,3.0,DEN
6,6,17.0,18.0,HOU
3,4,28.0,23.0,LAC
5,8,21.0,8.0,MIA
2,9,30.0,4.0,MIL
9,8,5.0,9.0,NYK
6,8,19.0,10.0,SAC
10,7,2.0,13.0,CLE
6,7,16.0,14.0,IND
7,3,15.0,27.0,POR
8,6,11.0,21.0,TOR
8,4,8.0,24.0,UTA
6,6,18.0,19.0,BRK
10,5,5.0,22.0,CHI
9,9,8.0,7.0,DAL
9,10,10.0,2.0,DEN
8,7,14.0,16.0,GSW
3,5,28.0,23.0,LAC
6,3,20.0,26.0,MEM
8,9,11.0,9.0,MIA
11,10,1.0,3.0,MIL
10,10,4.0,6.0,PHI
7,8,17.0,15.0,SAC
8,6,12.0,21.0,TOR
3,4,27.0,25.0,UTA
4,2,24.0,30.0,WAS
10,12,7.0,1.0,BOS
7,5,19.0,23.0,CHI
7,10,18.0,3.0,DEN
8,2,13.0,29.0,DET
8,10,15.0,4.0,MIA
6,8,22.0,14.0,NOP
3,9,26.0,11.0,PHO
11,8,2.0,16.0,SAC
7,3,17.0,28.0,SAS
10,2,5.0,30.0,WAS
2,7,30.0,17.0,ATL
6,10,22.0,4.0,DAL
8,9,13.0,10.0,LAL
6,10,21.0,6.0,MIA
4,9,25.0,11.0,NOP
11,10,3.0,9.0,PHI
12,8,1.0,14.0,ATL
7,5,19.0,24.0,CHI
11,5,5.0,23.0,CHO
3,11,27.0,3.0,MIN
9,10,13.0,10.0,PHO
11,4,2.0,25.0,POR
10,3,7.0,28.0,SAS
8,8,15.0,18.0,TOR
7,11,22.0,2.0,DEN
11,10,7.0,9.0,LAL
5,9,25.0,13.0,NOP
9,4,12.0,26.0,POR
2,2,29.0,30.0,WAS
9,8,12.0,17.0,ATL
13,5,1.0,24.0,CHI
9,5,15.0,23.0,CHO
9,8,16.0,19.0,GSW
10,8,8.0,20.0,HOU
10,12,10.0,2.0,MIL
12,11,3.0,5.0,OKC
8,8,18.0,21.0,TOR
12,8,2.0,20.0,HOU
10,7,12.0,22.0,LAC
2,10,30.0,10.0,LAL
9,12,15.0,6.0,PHI
8,11,21.0,8.0,PHO
3,6,27.0,23.0,UTA
12,3,5.0,29.0,WAS
3,8,28.0,18.0,ATL
9,5,15.0,24.0,CHO
10,2,13.0,30.0,DET
10,9,12.0,16.0,IND
8,8,19.0,21.0,LAC
11,11,8.0,7.0,LAL
5,13,25.0,2.0,MIL
10,5,10.0,26.0,POR
13,6,3.0,23.0,UTA
11,13,11.0,2.0,DEN
11,4,7.0,27.0,MEM
9,11,18.0,9.0,NYK
14,12,1.0,6.0,PHI
10,3,14.0,28.0,SAS
13,3,5.0,29.0,WAS
13,9,5.0,16.0,ATL
2,10,30.0,14.0,CLE
10,14,15.0,2.0,DEN
8,9,22.0,18.0,GSW
11,8,9.0,21.0,HOU
11,9,10.0,19.0,IND
11,5,13.0,27.0,MEM
6,14,23.0,3.0,MIN
6,11,24.0,11.0,NOP
11,12,8.0,6.0,OKC
9,14,17.0,4.0,ORL
6,6,26.0,25.0,POR
10,15,16.0,1.0,BOS
11,11,14.0,11.0,NOP
14,12,3.0,7.0,NYK
12,12,6.0,10.0,PHO
9,10,18.0,16.0,BRK
7,6,23.0,25.0,CHO
9,14,20.0,3.0,DEN
2,5,30.0,27.0,MEM
9,11,21.0,13.0,MIA
8,13,22.0,6.0,OKC
11,14,11.0,5.0,ORL
3,12,29.0,9.0,PHI
9,6,19.0,26.0,POR
15,3,2.0,28.0,SAS
11,7,12.0,24.0,UTA
15,11,2.0,14.0,IND
13,12,6.0,8.0,NOP
13,9,8.0,20.0,ATL
3,8,28.0,23.0,CHI
12,12,11.0,9.0,CLE
6,12,27.0,10.0,DAL
14,2,5.0,30.0,DET
13,10,7.0,18.0,GSW
14,9,4.0,21.0,HOU
7,10,24.0,19.0,LAC
6,16,26.0,1.0,MIN
15,12,2.0,13.0,NYK
12,11,14.0,17.0,SAC
6,9,25.0,22.0,TOR
11,3,15.0,29.0,WAS
12,12,17.0,11.0,BRK
15,9,3.0,22.0,CHI
15,13,4.0,8.0,CLE
6,13,26.0,9.0,DAL
9,14,21.0,5.0,DEN
2,12,30.0,12.0,IND
7,12,24.0,13.0,MIA
12,17,14.0,1.0,MIN
11,6,18.0,27.0,POR
10,3,20.0,28.0,SAS
12,9,15.0,23.0,TOR
14,7,6.0,25.0,UTA
14,3,7.0,29.0,WAS
16,13,2.0,10.0,CLE
9,15,22.0,3.0,DEN
12,10,18.0,19.0,GSW
14,14,6.0,7.0,LAL
12,13,14.0,11.0,SAC
9,9,23.0,21.0,ATL
13,12,15.0,17.0,BRK
13,7,12.0,24.0,CHO
16,13,3.0,11.0,IND
3,14,28.0,8.0,LAL
11,6,19.0,26.0,MEM
3,13,29.0,13.0,NOP
7,13,25.0,14.0,NYK
2,15,30.0,6.0,PHI
16,13,3.0,11.0,BRK
14,9,10.0,22.0,CHI
17,13,1.0,12.0,CLE
13,10,14.0,20.0,GSW
15,17,5.0,2.0,MIN
13,15,18.0,6.0,OKC
6,8,27.0,24.0,UTA
10,9,21.0,22.0,ATL
16,2,6.0,30.0,DET
6,12,26.0,19.0,HOU
3,13,29.0,14.0,IND
3,15,28.0,8.0,LAL
7,14,25.0,11.0,NOP
13,13,17.0,16.0,NYK
18,16,1.0,5.0,ORL
13,10,16.0,20.0,ATL
10,13,22.0,15.0,BRK
14,10,11.0,21.0,CHI
6,15,27.0,7.0,DAL
17,2,4.0,30.0,DET
18,13,2.0,17.0,IND
14,14,10.0,13.0,NYK
17,15,3.0,9.0,OKC
7,17,25.0,5.0,PHI
14,9,14.0,24.0,UTA
6,11,27.0,20.0,GSW
18,13,2.0,17.0,HOU
4,15,28.0,9.0,NOP
19,16,1.0,6.0,ORL
13,4,19.0,29.0,WAS
9,13,24.0,16.0,BRK
18,10,4.0,22.0,CHI
10,7,23.0,25.0,CHO
17,16,5.0,6.0,DAL
10,2,21.0,30.0,DET
14,13,14.0,17.0,HOU
13,15,18.0,9.0,LAC
16,6,7.0,26.0,MEM
15,19,11.0,2.0,MIN
15,14,10.0,15.0,NYK
15,4,13.0,29.0,WAS
12,20,20.0,1.0,BOS
16,6,7.0,26.0,MEM
6,14,27.0,16.0,PHO
19,4,2.0,28.0,SAS
13,11,18.0,21.0,ATL
16,20,11.0,1.0,BOS
13,7,19.0,25.0,CHO
11,18,23.0,4.0,DEN
16,16,6.0,7.0,LAC
11,15,22.0,13.0,LAL
16,15,10.0,14.0,MIA
18,20,5.0,2.0,MIN
13,15,17.0,15.0,NYK
15,10,12.0,24.0,UTA
7,14,26.0,16.0,IND
17,17,7.0,6.0,LAC
20,15,3.0,13.0,LAL
16,16,8.0,10.0,NOP
20,16,2.0,11.0,ORL
12,4,20.0,28.0,SAS
2,10,30.0,24.0,UTA
7,4,27.0,29.0,WAS
16,12,10.0,21.0,ATL
13,16,20.0,9.0,DAL
13,19,18.0,4.0,DEN
16,14,13.0,17.0,PHO
19,11,5.0,23.0,TOR
13,5,19.0,28.0,WAS
17,21,7.0,1.0,BOS
13,16,21.0,10.0,CLE
7,20,26.0,4.0,DEN
13,2,20.0,30.0,DET
17,14,8.0,17.0,HOU
18,15,6.0,15.0,LAL
12,8,22.0,25.0,MEM
16,21,13.0,2.0,MIL
17,21,9.0,3.0,MIN
14,16,18.0,14.0,ORL
14,7,16.0,27.0,POR
16,4,11.0,29.0,SAS
11,11,23.0,24.0,UTA
16,22,13.0,1.0,BOS
14,17,19.0,7.0,DAL
21,15,3.0,16.0,GSW
16,22,14.0,2.0,MIL
17,20,9.0,5.0,PHI
13,12,21.0,22.0,ATL
2,14,30.0,18.0,BRK
17,7,8.0,26.0,CHO
15,14,17.0,19.0,IND
17,9,10.0,25.0,MEM
18,22,6.0,3.0,MIN
5,17,28.0,11.0,ORL
7,17,27.0,12.0,SAC
4,12,29.0,23.0,UTA
18,17,7.0,9.0,CLE
15,22,16.0,2.0,MIL
19,17,6.0,13.0,NYK
18,20,8.0,5.0,PHI
15,14,18.0,20.0,PHO
5,11,28.0,24.0,TOR
16,7,15.0,27.0,CHO
22,18,4.0,7.0,DAL
23,2,1.0,30.0,DET
14,15,20.0,19.0,IND
