Away,Home,Result,Date
CLE,SAC,0,2023-11-13
NYK,BOS,0,2023-11-13
WAS,TOR,0,2023-11-13
ATL,DET,1,2023-11-14
DAL,NOP,0,2023-11-14
IND,PHI,1,2023-11-14
LAC,DEN,0,2023-11-14
MEM,LAL,0,2023-11-14
MIA,CHO,1,2023-11-14
MIN,GSW,1,2023-11-14
ORL,BRK,0,2023-11-14
POR,UTA,0,2023-11-14
SAS,OKC,0,2023-11-14
BOS,PHI,1,2023-11-15
CLE,POR,1,2023-11-15
DAL,WAS,1,2023-11-15
MIL,TOR,1,2023-11-15
MIN,PHO,0,2023-11-15
NYK,ATL,1,2023-11-15
ORL,CHI,1,2023-11-15
SAC,LAL,1,2023-11-15
BRK,MIA,0,2023-11-16
OKC,GSW,1,2023-11-16
BOS,TOR,1,2023-11-17
DEN,NOP,0,2023-11-17
DET,CLE,0,2023-11-17
HOU,LAC,0,2023-11-17
LAL,POR,1,2023-11-17
MIL,CHO,1,2023-11-17
NYK,WAS,1,2023-11-17
ORL,CHI,1,2023-11-17
PHI,ATL,1,2023-11-17
PHO,UTA,1,2023-11-17
SAC,SAS,1,2023-11-17
DAL,MIL,0,2023-11-18
MEM,SAS,1,2023-11-18
MIA,CHI,0,2023-11-18
MIN,NOP,1,2023-11-18
NYK,CHO,1,2023-11-18
OKC,GSW,1,2023-11-18
BOS,MEM,1,2023-11-19
DEN,CLE,0,2023-11-19
DET,TOR,0,2023-11-19
HOU,LAL,0,2023-11-19
OKC,POR,1,2023-11-19
ORL,IND,1,2023-11-19
PHI,BRK,1,2023-11-19
PHO,UTA,1,2023-11-19
SAC,DAL,1,2023-11-19
BOS,CHO,0,2023-11-20
DEN,DET,1,2023-11-20
HOU,GSW,0,2023-11-20
LAC,SAS,1,2023-11-20
MIA,CHI,1,2023-11-20
MIL,WAS,1,2023-11-20
NYK,MIN,0,2023-11-20
SAC,NOP,0,2023-11-20
CLE,PHI,1,2023-11-21
IND,ATL,1,2023-11-21
POR,PHO,0,2023-11-21
TOR,ORL,0,2023-11-21
UTA,LAL,0,2023-11-21
BRK,ATL,0,2023-11-22
CHI,OKC,0,2023-11-22
DAL,LAL,1,2023-11-22
DEN,ORL,0,2023-11-22
GSW,PHO,0,2023-11-22
LAC,SAS,1,2023-11-22
MEM,HOU,0,2023-11-22
MIA,CLE,1,2023-11-22
MIL,BOS,0,2023-11-22
PHI,MIN,0,2023-11-22
SAC,NOP,0,2023-11-22
TOR,IND,1,2023-11-22
UTA,POR,0,2023-11-22
WAS,CHO,0,2023-11-22
BOS,ORL,0,2023-11-24
CHI,TOR,0,2023-11-24
DEN,HOU,0,2023-11-24
DET,IND,0,2023-11-24
MIA,NYK,0,2023-11-24
NOP,LAC,1,2023-11-24
PHO,MEM,1,2023-11-24
SAC,MIN,1,2023-11-24
SAS,GSW,0,2023-11-24
WAS,MIL,0,2023-11-24
ATL,WAS,1,2023-11-25
DAL,LAC,0,2023-11-25
LAL,CLE,1,2023-11-25
MIA,BRK,0,2023-11-25
NOP,UTA,0,2023-11-25
PHI,OKC,1,2023-11-25
ATL,BOS,0,2023-11-26
CHI,BRK,0,2023-11-26
CHO,ORL,0,2023-11-26
MIN,MEM,1,2023-11-26
PHO,NYK,1,2023-11-26
POR,MIL,0,2023-11-26
SAS,DEN,0,2023-11-26
TOR,CLE,0,2023-11-26
DEN,LAC,1,2023-11-27
LAL,PHI,0,2023-11-27
NOP,UTA,0,2023-11-27
POR,IND,1,2023-11-27
WAS,DET,1,2023-11-27
ATL,CLE,0,2023-11-28
CHI,BOS,0,2023-11-28
CHO,NYK,0,2023-11-28
GSW,SAC,0,2023-11-28
