Away,Home,Result,Date
PHO,DAL,0,2024-02-22
SAS,SAC,0,2024-02-22
WAS,DEN,0,2024-02-22
CHO,GSW,0,2024-02-23
CLE,PHI,0,2024-02-23
DEN,POR,1,2024-02-23
LAC,MEM,1,2024-02-23
MIA,NOP,1,2024-02-23
MIL,MIN,1,2024-02-23
PHO,HOU,0,2024-02-23
SAS,LAL,0,2024-02-23
TOR,ATL,1,2024-02-23
WAS,OKC,0,2024-02-23
BOS,NYK,1,2024-02-24
BRK,MIN,0,2024-02-24
ORL,DET,1,2024-02-24
CHI,NOP,1,2024-02-25
CHO,POR,1,2024-02-25
CLE,WAS,1,2024-02-25
DAL,IND,0,2024-02-25
DEN,GSW,1,2024-02-25
LAL,PHO,0,2024-02-25
MIL,PHI,1,2024-02-25
OKC,HOU,1,2024-02-25
ORL,ATL,0,2024-02-25
SAC,LAC,1,2024-02-25
SAS,UTA,0,2024-02-25
BRK,MEM,1,2024-02-26
DET,NYK,0,2024-02-26
MIA,SAC,1,2024-02-26
TOR,IND,1,2024-02-26
BRK,ORL,0,2024-02-27
CHO,MIL,0,2024-02-27
DAL,CLE,0,2024-02-27
DET,CHI,1,2024-02-27
GSW,WAS,1,2024-02-27
HOU,OKC,0,2024-02-27
MIA,POR,1,2024-02-27
NOP,NYK,1,2024-02-27
PHI,BOS,0,2024-02-27
SAS,MIN,0,2024-02-27
UTA,ATL,0,2024-02-27
CLE,CHI,0,2024-02-28
DAL,TOR,1,2024-02-28
LAL,LAC,1,2024-02-28
MEM,MIN,0,2024-02-28
NOP,IND,0,2024-02-28
SAC,DEN,0,2024-02-28
ATL,BRK,0,2024-02-29
GSW,NYK,1,2024-02-29
HOU,PHO,0,2024-02-29
MIA,DEN,0,2024-02-29
MIL,CHO,1,2024-02-29
OKC,SAS,0,2024-02-29
UTA,ORL,0,2024-02-29
WAS,LAL,0,2024-02-29
CHO,PHI,0,2024-03-01
CLE,DET,1,2024-03-01
DAL,BOS,0,2024-03-01
GSW,TOR,1,2024-03-01
IND,NOP,0,2024-03-01
MIL,CHI,1,2024-03-01
POR,MEM,1,2024-03-01
SAC,MIN,1,2024-03-01
WAS,LAC,0,2024-03-01
ATL,BRK,0,2024-03-02
DEN,LAL,1,2024-03-02
HOU,PHO,1,2024-03-02
POR,MEM,1,2024-03-02
UTA,MIA,0,2024-03-02
CHO,TOR,0,2024-03-03
DET,ORL,0,2024-03-03
GSW,BOS,0,2024-03-03
IND,SAS,0,2024-03-03
LAC,MIN,1,2024-03-03
NYK,CLE,1,2024-03-03
OKC,PHO,1,2024-03-03
PHI,DAL,1,2024-03-03
CHI,SAC,1,2024-03-04
LAC,MIL,0,2024-03-04
MEM,BRK,1,2024-03-04
OKC,LAL,0,2024-03-04
POR,MIN,0,2024-03-04
WAS,UTA,0,2024-03-04
ATL,NYK,1,2024-03-05
BOS,CLE,0,2024-03-05
DET,MIA,0,2024-03-05
IND,DAL,1,2024-03-05
NOP,TOR,1,2024-03-05
ORL,CHO,1,2024-03-05
PHI,BRK,0,2024-03-05
PHO,DEN,1,2024-03-05
SAS,HOU,0,2024-03-05
CHI,UTA,1,2024-03-06
CLE,ATL,0,2024-03-06
LAC,HOU,1,2024-03-06
MEM,PHI,1,2024-03-06
MIL,GSW,0,2024-03-06
OKC,POR,1,2024-03-06
ORL,WAS,1,2024-03-06
SAC,LAL,1,2024-03-06
BOS,DEN,0,2024-03-07
BRK,DET,0,2024-03-07
CHI,GSW,1,2024-03-07
MIA,DAL,0,2024-03-07
MIN,IND,1,2024-03-07
SAS,SAC,0,2024-03-07
TOR,PHO,0,2024-03-07
ATL,MEM,1,2024-03-08
CHO,WAS,0,2024-03-08
HOU,POR,1,2024-03-08
MIA,OKC,0,2024-03-08
MIL,LAL,0,2024-03-08
MIN,CLE,0,2024-03-08
NOP,PHI,1,2024-03-08
ORL,NYK,0,2024-03-08
BOS,PHO,1,2024-03-09
BRK,CHO,0,2024-03-09
CHI,LAC,0,2024-03-09
DAL,DET,1,2024-03-09
SAS,GSW,1,2024-03-09
TOR,POR,0,2024-03-09
UTA,DEN,0,2024-03-09
BRK,CLE,1,2024-03-10
HOU,SAC,1,2024-03-10
IND,ORL,1,2024-03-10
MEM,OKC,0,2024-03-10
MIL,LAC,1,2024-03-10
MIN,LAL,0,2024-03-10
NOP,ATL,1,2024-03-10
PHI,NYK,1,2024-03-10
WAS,MIA,1,2024-03-10
BOS,POR,1,2024-03-11
CHO,DET,0,2024-03-11
DAL,CHI,1,2024-03-11
GSW,SAS,1,2024-03-11
PHO,CLE,1,2024-03-11
TOR,DEN,0,2024-03-11
BOS,UTA,1,2024-03-12
HOU,SAS,1,2024-03-12
IND,OKC,1,2024-03-12
MIL,SAC,0,2024-03-12
MIN,LAC,1,2024-03-12
PHI,NYK,0,2024-03-12
WAS,MEM,0,2024-03-12
ATL,POR,0,2024-03-13
BRK,ORL,0,2024-03-13
CHI,IND,1,2024-03-13
CHO,MEM,1,2024-03-13
CLE,NOP,1,2024-03-13
DEN,MIA,1,2024-03-13
GSW,DAL,0,2024-03-13
LAL,SAC,0,2024-03-13
TOR,DET,0,2024-03-13
DAL,OKC,0,2024-03-14
LAC,CHI,1,2024-03-14
NYK,POR,1,2024-03-14
PHI,MIL,0,2024-03-14
PHO,BOS,0,2024-03-14
WAS,HOU,0,2024-03-14
ATL,UTA,0,2024-03-15
DEN,SAS,1,2024-03-15
LAC,NOP,0,2024-03-15
MIA,DET,1,2024-03-15
ORL,TOR,1,2024-03-15
PHO,CHO,1,2024-03-15
BRK,IND,0,2024-03-16
CHO,PHI,0,2024-03-16
CLE,HOU,0,2024-03-16
GSW,LAL,1,2024-03-16
MIN,UTA,1,2024-03-16
NYK,SAC,1,2024-03-16
OKC,MEM,1,2024-03-16
POR,NOP,0,2024-03-16
WAS,CHI,0,2024-03-16
ATL,LAC,1,2024-03-17
BOS,WAS,1,2024-03-17
BRK,SAS,0,2024-03-17
DEN,DAL,0,2024-03-17
MIA,DET,1,2024-03-17
PHO,MIL,0,2024-03-17
TOR,ORL,0,2024-03-17
ATL,LAL,0,2024-03-18
CLE,IND,1,2024-03-18
DET,BOS,0,2024-03-18
MEM,SAC,0,2024-03-18
MIA,PHI,0,2024-03-18
MIN,UTA,1,2024-03-18
NYK,GSW,1,2024-03-18
POR,CHI,0,2024-03-18
CHO,ORL,0,2024-03-19
DAL,SAS,1,2024-03-19
DEN,MIN,1,2024-03-19
HOU,WAS,1,2024-03-19
NOP,BRK,1,2024-03-19
IND,DET,1,2024-03-20
LAC,POR,1,2024-03-20
MEM,GSW,0,2024-03-20
MIA,CLE,1,2024-03-20
MIL,BOS,0,2024-03-20
PHI,PHO,0,2024-03-20
SAC,TOR,1,2024-03-20
UTA,OKC,0,2024-03-20
ATL,PHO,0,2024-03-21
BRK,MIL,0,2024-03-21
CHI,HOU,0,2024-03-21
NOP,ORL,0,2024-03-21
NYK,DEN,0,2024-03-21
SAC,WAS,0,2024-03-21
UTA,DAL,0,2024-03-21
BOS,DET,1,2024-03-22
CLE,MIN,0,2024-03-22
IND,GSW,1,2024-03-22
LAC,POR,1,2024-03-22
MEM,SAS,1,2024-03-22
NOP,MIA,1,2024-03-22
OKC,TOR,1,2024-03-22
PHI,LAL,0,2024-03-22
BOS,CHI,1,2024-03-23
BRK,NYK,0,2024-03-23
CHO,ATL,0,2024-03-23
DEN,POR,1,2024-03-23
PHO,SAS,1,2024-03-23
SAC,ORL,1,2024-03-23
TOR,WAS,0,2024-03-23
UTA,HOU,0,2024-03-23
CLE,MIA,0,2024-03-24
GSW,MIN,0,2024-03-24
IND,LAL,0,2024-03-24
NOP,DET,1,2024-03-24
OKC,MIL,0,2024-03-24
PHI,LAC,1,2024-03-24
BOS,ATL,0,2024-03-25
BRK,TOR,1,2024-03-25
CHO,CLE,0,2024-03-25
DAL,UTA,1,2024-03-25
DET,NYK,0,2024-03-25
IND,LAC,1,2024-03-25
MEM,DEN,0,2024-03-25
PHI,SAC,0,2024-03-25
PHO,SAS,0,2024-03-25
POR,HOU,0,2024-03-25
WAS,CHI,1,2024-03-25
DAL,SAC,1,2024-03-26
GSW,MIA,1,2024-03-26
LAL,MIL,1,2024-03-26
OKC,NOP,1,2024-03-26
BRK,WAS,1,2024-03-27
CLE,CHO,0,2024-03-27
DET,MIN,0,2024-03-27
GSW,ORL,1,2024-03-27
HOU,OKC,1,2024-03-27
IND,CHI,0,2024-03-27
LAC,PHI,1,2024-03-27
LAL,MEM,1,2024-03-27
NYK,TOR,1,2024-03-27
PHO,DEN,1,2024-03-27
POR,ATL,0,2024-03-27
SAS,UTA,1,2024-03-27
BOS,ATL,0,2024-03-28
MIL,NOP,0,2024-03-28
CHI,BRK,0,2024-03-29
DAL,SAC,1,2024-03-29
DET,WAS,1,2024-03-29
GSW,CHO,1,2024-03-29
HOU,UTA,1,2024-03-29
LAC,ORL,1,2024-03-29
LAL,IND,0,2024-03-29
MIN,DEN,1,2024-03-29
NYK,SAS,0,2024-03-29
PHI,CLE,0,2024-03-29
PHO,OKC,0,2024-03-29
POR,MIA,0,2024-03-29
BOS,NOP,1,2024-03-30
MEM,ORL,0,2024-03-30
MIL,ATL,1,2024-03-30
CHI,MIN,1,2024-03-31
CLE,DEN,0,2024-03-31
DAL,HOU,1,2024-03-31
GSW,SAS,1,2024-03-31
LAC,CHO,1,2024-03-31
LAL,BRK,1,2024-03-31
MIA,WAS,1,2024-03-31
OKC,NYK,1,2024-03-31
PHI,TOR,1,2024-03-31
UTA,SAC,0,2024-03-31
ATL,CHI,1,2024-04-01
BOS,CHO,1,2024-04-01
BRK,IND,0,2024-04-01
MEM,DET,1,2024-04-01
PHO,NOP,1,2024-04-01
POR,ORL,0,2024-04-01
CLE,UTA,1,2024-04-02
DAL,GSW,0,2024-04-02
HOU,MIN,0,2024-04-02
LAC,SAC,0,2024-04-02
LAL,TOR,1,2024-04-02
MIL,WAS,0,2024-04-02
NYK,MIA,0,2024-04-02
OKC,PHI,0,2024-04-02
SAS,DEN,0,2024-04-02
CLE,PHO,0,2024-04-03
DET,ATL,0,2024-04-03
IND,BRK,0,2024-04-03
LAL,WAS,1,2024-04-03
MEM,MIL,1,2024-04-03
OKC,BOS,0,2024-04-03
ORL,NOP,1,2024-04-03
POR,CHO,1,2024-04-03
TOR,MIN,0,2024-04-03
ATL,DAL,0,2024-04-04
DEN,LAC,0,2024-04-04
GSW,HOU,1,2024-04-04
PHI,MIA,1,2024-04-04
SAC,NYK,0,2024-04-04
DET,MEM,0,2024-04-05
GSW,DAL,0,2024-04-05
MIA,HOU,1,2024-04-05
MIN,PHO,0,2024-04-05
NYK,CHI,0,2024-04-05
OKC,IND,0,2024-04-05
ORL,CHO,0,2024-04-05
POR,WAS,1,2024-04-05
SAC,BOS,0,2024-04-05
SAS,NOP,1,2024-04-05
TOR,MIL,1,2024-04-05
UTA,LAC,0,2024-04-05
ATL,DEN,0,2024-04-06
CLE,LAL,0,2024-04-06
DET,BRK,0,2024-04-06
PHI,MEM,1,2024-04-06
CHI,ORL,0,2024-04-07
CLE,LAC,0,2024-04-07
HOU,DAL,0,2024-04-07
MIA,IND,0,2024-04-07
MIN,LAL,1,2024-04-07
NOP,PHO,1,2024-04-07
NYK,MIL,1,2024-04-07
OKC,CHO,1,2024-04-07
PHI,SAS,1,2024-04-07
POR,BOS,0,2024-04-07
SAC,BRK,1,2024-04-07
UTA,GSW,0,2024-04-07
WAS,TOR,0,2024-04-07
BOS,MIL,0,2024-04-09
DAL,CHO,1,2024-04-09
DEN,UTA,1,2024-04-09
DET,PHI,0,2024-04-09
GSW,LAL,1,2024-04-09
IND,TOR,1,2024-04-09
LAC,PHO,1,2024-04-09
MIA,ATL,1,2024-04-09
NOP,POR,1,2024-04-09
NYK,CHI,1,2024-04-09
ORL,HOU,0,2024-04-09
SAC,OKC,0,2024-04-09
SAS,MEM,1,2024-04-09
WAS,MIN,0,2024-04-09
CHO,ATL,1,2024-04-10
DAL,MIA,1,2024-04-10
MEM,CLE,0,2024-04-10
MIN,DEN,0,2024-04-10
ORL,MIL,0,2024-04-10
PHO,LAC,1,2024-04-10
SAS,OKC,0,2024-04-10
TOR,BRK,0,2024-04-10
CHI,DET,1,2024-04-11
GSW,POR,1,2024-04-11
HOU,UTA,0,2024-04-11
NOP,SAC,1,2024-04-11
NYK,BOS,1,2024-04-11
ATL,MIN,0,2024-04-12
BRK,NYK,0,2024-04-12
CHI,WAS,1,2024-04-12
CHO,BOS,0,2024-04-12
DEN,SAS,0,2024-04-12
DET,DAL,1,2024-04-12
HOU,POR,1,2024-04-12
IND,CLE,0,2024-04-12
LAL,MEM,1,2024-04-12
MIL,OKC,0,2024-04-12
NOP,GSW,1,2024-04-12
ORL,PHI,0,2024-04-12
PHO,SAC,1,2024-04-12
TOR,MIA,0,2024-04-12
UTA,LAC,1,2024-04-12
ATL,IND,0,2024-04-14
BRK,PHI,0,2024-04-14
CHI,NYK,0,2024-04-14
CHO,CLE,1,2024-04-14
DAL,OKC,0,2024-04-14
DEN,MEM,1,2024-04-14
DET,SAS,0,2024-04-14
HOU,LAC,1,2024-04-14
LAL,NOP,1,2024-04-14
MIL,ORL,0,2024-04-14
PHO,MIN,1,2024-04-14
POR,SAC,0,2024-04-14
TOR,MIA,0,2024-04-14
UTA,GSW,0,2024-04-14
WAS,BOS,0,2024-04-14
