,Team,Pace Factor,Effective Field Goal Percentage,Turnover Percentage,Offensive Rebound Percentage,FT/FGA,Offensive Rating
0,MIL,100.8,.615,12.2,28.6,.198,128.9
1,NYK,100.8,.489,9.7,21.2,.215,110.1
