,Team,Pace Factor,Effective Field Goal Percentage,Turnover Percentage,Offensive Rebound Percentage,FT/FGA,Offensive Rating
0,DET,97.9,.517,12.2,35.9,.222,115.4
1,IND,97.9,.559,6.6,34.1,.216,138.9
