,Team,Pace Factor,Effective Field Goal Percentage,Turnover Percentage,Offensive Rebound Percentage,FT/FGA,Offensive Rating
0,TOR,87.6,.545,9.1,26.2,.168,120.0
1,OKC,87.6,.577,8.1,27.5,.073,127.5
