,Team,Pace Factor,Effective Field Goal Percentage,Turnover Percentage,Offensive Rebound Percentage,FT/FGA,Offensive Rating
0,MEM,95.0,.644,17.1,21.6,.125,118.9
1,NYK,95.0,.622,9.5,22.9,.186,129.4
