,Team,Pace Factor,Effective Field Goal Percentage,Turnover Percentage,Offensive Rebound Percentage,FT/FGA,Offensive Rating
0,BRK,100.3,.626,7.3,19.0,.116,129.6
1,LAL,100.3,.511,12.2,23.3,.222,111.7
