,Team,Pace Factor,Effective Field Goal Percentage,Turnover Percentage,Offensive Rebound Percentage,FT/FGA,Offensive Rating
0,MIA,91.7,.506,14.7,12.8,.247,105.8
1,CHI,91.7,.543,11.8,25.6,.173,111.2
