,Team,Pace Factor,Effective Field Goal Percentage,Turnover Percentage,Offensive Rebound Percentage,FT/FGA,Offensive Rating
0,OKC,97.0,.495,9.8,26.5,.104,108.3
1,LAL,97.0,.571,15.6,22.9,.190,115.5
