,Team,Pace Factor,Effective Field Goal Percentage,Turnover Percentage,Offensive Rebound Percentage,FT/FGA,Offensive Rating
0,BRK,93.1,.535,9.7,20.5,.188,114.9
1,BOS,93.1,.537,6.2,31.5,.213,129.9
