,Team,Pace Factor,Effective Field Goal Percentage,Turnover Percentage,Offensive Rebound Percentage,FT/FGA,Offensive Rating
0,LAL,100.7,.554,15.4,18.4,.229,110.2
1,MIN,100.7,.563,12.5,22.5,.230,117.1
