,Team,Pace Factor,Effective Field Goal Percentage,Turnover Percentage,Offensive Rebound Percentage,FT/FGA,Offensive Rating
0,DET,96.3,.456,16.0,22.7,.228,93.4
1,MEM,96.3,.522,17.1,34.9,.156,112.1
