,Team,Pace Factor,Effective Field Goal Percentage,Turnover Percentage,Offensive Rebound Percentage,FT/FGA,Offensive Rating
0,UTA,94.0,.494,15.8,37.0,.247,111.7
1,NOP,94.0,.610,13.6,19.4,.146,119.2
