,Team,Pace Factor,Effective Field Goal Percentage,Turnover Percentage,Offensive Rebound Percentage,FT/FGA,Offensive Rating
0,DEN,103.4,.524,17.5,20.0,.244,102.5
1,SAC,103.4,.684,14.4,18.8,.184,130.6
