,Team,Pace Factor,Effective Field Goal Percentage,Turnover Percentage,Offensive Rebound Percentage,FT/FGA,Offensive Rating
0,MIN,92.4,.585,11.6,42.9,.273,137.4
1,MEM,92.4,.517,8.7,17.0,.163,111.4
