,Team,Pace Factor,Effective Field Goal Percentage,Turnover Percentage,Offensive Rebound Percentage,FT/FGA,Offensive Rating
0,MIL,94.9,.517,6.5,22.9,.279,119.0
1,CHI,94.9,.483,11.4,15.6,.163,102.2
