,Team,Pace Factor,Effective Field Goal Percentage,Turnover Percentage,Offensive Rebound Percentage,FT/FGA,Offensive Rating
0,MEM,95.1,.560,13.8,41.9,.198,126.2
1,DAL,95.1,.494,11.3,18.2,.268,108.3
