,Team,Pace Factor,Effective Field Goal Percentage,Turnover Percentage,Offensive Rebound Percentage,FT/FGA,Offensive Rating
0,TOR,104.4,.615,12.4,20.5,.264,124.5
1,SAC,104.4,.625,11.6,27.5,.100,129.3
