,Team,Pace Factor,Effective Field Goal Percentage,Turnover Percentage,Offensive Rebound Percentage,FT/FGA,Offensive Rating
0,CLE,101.6,.577,10.9,14.3,.121,114.2
1,MIL,101.6,.561,9.7,23.3,.278,124.1
