,Team,Pace Factor,Effective Field Goal Percentage,Turnover Percentage,Offensive Rebound Percentage,FT/FGA,Offensive Rating
0,LAC,96.6,.473,12.4,28.9,.187,106.6
1,LAL,96.6,.579,17.6,22.9,.134,109.7
