,Team,Pace Factor,Effective Field Goal Percentage,Turnover Percentage,Offensive Rebound Percentage,FT/FGA,Offensive Rating
0,CHI,95.2,.511,3.9,10.9,.133,109.2
1,POR,95.2,.443,12.4,16.7,.329,100.8
