,Team,Pace Factor,Effective Field Goal Percentage,Turnover Percentage,Offensive Rebound Percentage,FT/FGA,Offensive Rating
0,NYK,88.1,.581,9.1,25.6,.081,121.5
1,CLE,88.1,.546,9.9,21.3,.034,111.2
